"module name","license","repository"
"@floating-ui/core@1.7.3","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/dom@1.7.4","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react-dom@2.1.6","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/utils@0.2.10","MIT","https://github.com/floating-ui/floating-ui"
"@fontsource/fredoka-one@4.5.0","MIT","https://github.com/fontsource/fontsource"
"@fontsource/fredoka@5.2.10","OFL-1.1","https://github.com/fontsource/font-files"
"@fontsource/opendyslexic@5.2.5","OFL-1.1","https://github.com/fontsource/font-files"
"@jest/diff-sequences@30.0.1","MIT","https://github.com/jestjs/jest"
"@jest/expect-utils@30.2.0","MIT","https://github.com/jestjs/jest"
"@jest/get-type@30.1.0","MIT","https://github.com/jestjs/jest"
"@jest/pattern@30.0.1","MIT","https://github.com/jestjs/jest"
"@jest/schemas@30.0.5","MIT","https://github.com/jestjs/jest"
"@jest/types@30.2.0","MIT","https://github.com/jestjs/jest"
"@jridgewell/gen-mapping@0.3.13","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/sourcemap-codec@1.5.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/trace-mapping@0.3.31","MIT","https://github.com/jridgewell/sourcemaps"
"@mui/base@5.0.0-dev.20240529-082515-213b5e33ab","MIT","https://github.com/mui/material-ui"
"@mui/core-downloads-tracker@5.18.0","MIT","https://github.com/mui/material-ui"
"@mui/icons-material@5.18.0","MIT","https://github.com/mui/material-ui"
"@mui/material@5.18.0","MIT","https://github.com/mui/material-ui"
"@mui/private-theming@5.17.1","MIT","https://github.com/mui/material-ui"
"@mui/styled-engine@5.18.0","MIT","https://github.com/mui/material-ui"
"@mui/system@5.18.0","MIT","https://github.com/mui/material-ui"
"@mui/types@7.2.24","MIT","https://github.com/mui/material-ui"
"@mui/utils@5.17.1","MIT","https://github.com/mui/material-ui"
"@mui/utils@6.4.9","MIT","https://github.com/mui/material-ui"
"@mui/x-date-pickers@6.20.2","MIT","https://github.com/mui/mui-x"
"@popperjs/core@2.11.8","MIT","https://github.com/popperjs/popper-core"
"@remix-run/router@1.23.1","MIT","https://github.com/remix-run/react-router"
"@sinclair/typebox@0.34.41","MIT","https://github.com/sinclairzx81/typebox"
"@testing-library/dom@10.4.1","MIT","https://github.com/testing-library/dom-testing-library"
"@testing-library/dom@8.20.1","MIT","https://github.com/testing-library/dom-testing-library"
"@testing-library/jest-dom@5.17.0","MIT","https://github.com/testing-library/jest-dom"
"@testing-library/react@13.4.0","MIT","https://github.com/testing-library/react-testing-library"
"@testing-library/user-event@13.5.0","MIT","https://github.com/testing-library/user-event"
"@types/aria-query@5.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-lib-coverage@2.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-lib-report@3.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-reports@3.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jest@30.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@24.10.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/parse-json@4.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.15","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-dom@18.3.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-transition-group@4.4.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@18.3.27","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/stack-utils@2.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/testing-library__jest-dom@5.14.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yargs-parser@21.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yargs@17.0.35","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@5.2.0","MIT","https://github.com/chalk/ansi-styles"
"aria-query@5.1.3","Apache-2.0","https://github.com/A11yance/aria-query"
"aria-query@5.3.0","Apache-2.0","https://github.com/A11yance/aria-query"
"array-buffer-byte-length@1.0.2","MIT","https://github.com/inspect-js/array-buffer-byte-length"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"available-typed-arrays@1.0.7","MIT","https://github.com/inspect-js/available-typed-arrays"
"axios@1.13.2","MIT","https://github.com/axios/axios"
"babel-plugin-macros@3.1.0","MIT","https://github.com/kentcdodds/babel-plugin-macros"
"braces@3.0.3","MIT","https://github.com/micromatch/braces"
"call-bind-apply-helpers@1.0.2","MIT","https://github.com/ljharb/call-bind-apply-helpers"
"call-bind@1.0.8","MIT","https://github.com/ljharb/call-bind"
"call-bound@1.0.4","MIT","https://github.com/ljharb/call-bound"
"callsites@3.1.0","MIT","https://github.com/sindresorhus/callsites"
"chalk@3.0.0","MIT","https://github.com/chalk/chalk"
"chalk@4.1.2","MIT","https://github.com/chalk/chalk"
"ci-info@4.3.1","MIT","https://github.com/watson/ci-info"
"clsx@2.1.1","MIT","https://github.com/lukeed/clsx"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"convert-source-map@1.9.0","MIT","https://github.com/thlorenz/convert-source-map"
"cosmiconfig@7.1.0","MIT","https://github.com/davidtheclark/cosmiconfig"
"css.escape@1.5.1","MIT","https://github.com/mathiasbynens/CSS.escape"
"csstype@3.2.3","MIT","https://github.com/frenic/csstype"
"dayjs@1.11.19","MIT","https://github.com/iamkun/dayjs"
"debug@4.4.3","MIT","https://github.com/debug-js/debug"
"deep-equal@2.2.3","MIT","https://github.com/inspect-js/node-deep-equal"
"define-data-property@1.1.4","MIT","https://github.com/ljharb/define-data-property"
"define-properties@1.2.1","MIT","https://github.com/ljharb/define-properties"
"delayed-stream@1.0.0","MIT","https://github.com/felixge/node-delayed-stream"
"dequal@2.0.3","MIT","https://github.com/lukeed/dequal"
"dom-accessibility-api@0.5.16","MIT","https://github.com/eps1lon/dom-accessibility-api"
"dom-helpers@5.2.1","MIT","https://github.com/react-bootstrap/dom-helpers"
"dunder-proto@1.0.1","MIT","https://github.com/es-shims/dunder-proto"
"error-ex@1.3.4","MIT","https://github.com/qix-/node-error-ex"
"es-define-property@1.0.1","MIT","https://github.com/ljharb/es-define-property"
"es-errors@1.3.0","MIT","https://github.com/ljharb/es-errors"
"es-get-iterator@1.1.3","MIT","https://github.com/ljharb/es-get-iterator"
"es-object-atoms@1.1.1","MIT","https://github.com/ljharb/es-object-atoms"
"es-set-tostringtag@2.1.0","MIT","https://github.com/es-shims/es-set-tostringtag"
"escape-string-regexp@2.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp"
"escape-string-regexp@4.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp"
"expect@30.2.0","MIT","https://github.com/jestjs/jest"
"fill-range@7.1.1","MIT","https://github.com/jonschlinkert/fill-range"
"find-root@1.1.0","MIT","https://github.com/js-n/find-root"
"follow-redirects@1.15.11","MIT","https://github.com/follow-redirects/follow-redirects"
"for-each@0.3.5","MIT","https://github.com/Raynos/for-each"
"form-data@4.0.5","MIT","https://github.com/form-data/form-data"
"function-bind@1.1.2","MIT","https://github.com/Raynos/function-bind"
"functions-have-names@1.2.3","MIT","https://github.com/inspect-js/functions-have-names"
"get-intrinsic@1.3.0","MIT","https://github.com/ljharb/get-intrinsic"
"get-proto@1.0.1","MIT","https://github.com/ljharb/get-proto"
"gopd@1.2.0","MIT","https://github.com/ljharb/gopd"
"graceful-fs@4.2.11","ISC","https://github.com/isaacs/node-graceful-fs"
"has-bigints@1.1.0","MIT","https://github.com/ljharb/has-bigints"
"has-flag@4.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has-property-descriptors@1.0.2","MIT","https://github.com/inspect-js/has-property-descriptors"
"has-symbols@1.1.0","MIT","https://github.com/inspect-js/has-symbols"
"has-tostringtag@1.0.2","MIT","https://github.com/inspect-js/has-tostringtag"
"hasown@2.0.2","MIT","https://github.com/inspect-js/hasOwn"
"hoist-non-react-statics@3.3.2","BSD-3-Clause","https://github.com/mridgway/hoist-non-react-statics"
"import-fresh@3.3.1","MIT","https://github.com/sindresorhus/import-fresh"
"indent-string@4.0.0","MIT","https://github.com/sindresorhus/indent-string"
"internal-slot@1.1.0","MIT","https://github.com/ljharb/internal-slot"
"is-arguments@1.2.0","MIT","https://github.com/inspect-js/is-arguments"
"is-array-buffer@3.0.5","MIT","https://github.com/inspect-js/is-array-buffer"
"is-arrayish@0.2.1","MIT","https://github.com/qix-/node-is-arrayish"
"is-bigint@1.1.0","MIT","https://github.com/inspect-js/is-bigint"
"is-boolean-object@1.2.2","MIT","https://github.com/inspect-js/is-boolean-object"
"is-callable@1.2.7","MIT","https://github.com/inspect-js/is-callable"
"is-core-module@2.16.1","MIT","https://github.com/inspect-js/is-core-module"
"is-date-object@1.1.0","MIT","https://github.com/inspect-js/is-date-object"
"is-map@2.0.3","MIT","https://github.com/inspect-js/is-map"
"is-number-object@1.1.1","MIT","https://github.com/inspect-js/is-number-object"
"is-number@7.0.0","MIT","https://github.com/jonschlinkert/is-number"
"is-regex@1.2.1","MIT","https://github.com/inspect-js/is-regex"
"is-set@2.0.3","MIT","https://github.com/inspect-js/is-set"
"is-shared-array-buffer@1.0.4","MIT","https://github.com/inspect-js/is-shared-array-buffer"
"is-string@1.1.1","MIT","https://github.com/inspect-js/is-string"
"is-symbol@1.1.1","MIT","https://github.com/inspect-js/is-symbol"
"is-weakmap@2.0.2","MIT","https://github.com/inspect-js/is-weakmap"
"is-weakset@2.0.4","MIT","https://github.com/inspect-js/is-weakset"
"isarray@2.0.5","MIT","https://github.com/juliangruber/isarray"
"jest-diff@30.2.0","MIT","https://github.com/jestjs/jest"
"jest-matcher-utils@30.2.0","MIT","https://github.com/jestjs/jest"
"jest-message-util@30.2.0","MIT","https://github.com/jestjs/jest"
"jest-mock@30.2.0","MIT","https://github.com/jestjs/jest"
"jest-regex-util@30.0.1","MIT","https://github.com/jestjs/jest"
"jest-util@30.2.0","MIT","https://github.com/jestjs/jest"
"js-cookie@3.0.5","MIT","https://github.com/js-cookie/js-cookie"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"jsesc@3.1.0","MIT","https://github.com/mathiasbynens/jsesc"
"json-parse-even-better-errors@2.3.1","MIT","https://github.com/npm/json-parse-even-better-errors"
"lines-and-columns@1.2.4","MIT","https://github.com/eventualbuddha/lines-and-columns"
"lodash@4.17.21","MIT","https://github.com/lodash/lodash"
"loose-envify@1.4.0","MIT","https://github.com/zertosh/loose-envify"
"lz-string@1.5.0","MIT","https://github.com/pieroxy/lz-string"
"math-intrinsics@1.1.0","MIT","https://github.com/es-shims/math-intrinsics"
"micromatch@4.0.8","MIT","https://github.com/micromatch/micromatch"
"mime-db@1.52.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.1.35","MIT","https://github.com/jshttp/mime-types"
"min-indent@1.0.1","MIT","https://github.com/thejameskyle/min-indent"
"ms@2.1.3","MIT","https://github.com/vercel/ms"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"object-inspect@1.13.4","MIT","https://github.com/inspect-js/object-inspect"
"object-is@1.1.6","MIT","https://github.com/es-shims/object-is"
"object-keys@1.1.1","MIT","https://github.com/ljharb/object-keys"
"object.assign@4.1.7","MIT","https://github.com/ljharb/object.assign"
"parent-module@1.0.1","MIT","https://github.com/sindresorhus/parent-module"
"parse-json@5.2.0","MIT","https://github.com/sindresorhus/parse-json"
"path-parse@1.0.7","MIT","https://github.com/jbgutierrez/path-parse"
"path-type@4.0.0","MIT","https://github.com/sindresorhus/path-type"
"picocolors@1.1.1","ISC","https://github.com/alexeyraspopov/picocolors"
"picomatch@2.3.1","MIT","https://github.com/micromatch/picomatch"
"picomatch@4.0.3","MIT","https://github.com/micromatch/picomatch"
"possible-typed-array-names@1.1.0","MIT","https://github.com/ljharb/possible-typed-array-names"
"pretty-format@27.5.1","MIT","https://github.com/facebook/jest"
"pretty-format@30.2.0","MIT","https://github.com/jestjs/jest"
"prop-types@15.8.1","MIT","https://github.com/facebook/prop-types"
"proxy-from-env@1.1.0","MIT","https://github.com/Rob--W/proxy-from-env"
"react-dom@18.3.1","MIT","https://github.com/facebook/react"
"react-is@16.13.1","MIT","https://github.com/facebook/react"
"react-is@17.0.2","MIT","https://github.com/facebook/react"
"react-is@18.3.1","MIT","https://github.com/facebook/react"
"react-is@19.2.1","MIT","https://github.com/facebook/react"
"react-router-dom@6.30.2","MIT","https://github.com/remix-run/react-router"
"react-router@6.30.2","MIT","https://github.com/remix-run/react-router"
"react-transition-group@4.4.5","BSD-3-Clause","https://github.com/reactjs/react-transition-group"
"react@18.3.1","MIT","https://github.com/facebook/react"
"redent@3.0.0","MIT","https://github.com/sindresorhus/redent"
"regexp.prototype.flags@1.5.4","MIT","https://github.com/es-shims/RegExp.prototype.flags"
"resolve-from@4.0.0","MIT","https://github.com/sindresorhus/resolve-from"
"resolve@1.22.11","MIT","https://github.com/browserify/resolve"
"safe-regex-test@1.1.0","MIT","https://github.com/ljharb/safe-regex-test"
"scheduler@0.23.2","MIT","https://github.com/facebook/react"
"set-function-length@1.2.2","MIT","https://github.com/ljharb/set-function-length"
"set-function-name@2.0.2","MIT","https://github.com/ljharb/set-function-name"
"side-channel-list@1.0.0","MIT","https://github.com/ljharb/side-channel-list"
"side-channel-map@1.0.1","MIT","https://github.com/ljharb/side-channel-map"
"side-channel-weakmap@1.0.2","MIT","https://github.com/ljharb/side-channel-weakmap"
"side-channel@1.1.0","MIT","https://github.com/ljharb/side-channel"
"slash@3.0.0","MIT","https://github.com/sindresorhus/slash"
"source-map@0.5.7","BSD-3-Clause","https://github.com/mozilla/source-map"
"stack-utils@2.0.6","MIT","https://github.com/tapjs/stack-utils"
"stop-iteration-iterator@1.1.0","MIT","https://github.com/ljharb/stop-iteration-iterator"
"strip-indent@3.0.0","MIT","https://github.com/sindresorhus/strip-indent"
"stylis@4.2.0","MIT","https://github.com/thysultan/stylis.js"
"supports-color@7.2.0","MIT","https://github.com/chalk/supports-color"
"supports-preserve-symlinks-flag@1.0.0","MIT","https://github.com/inspect-js/node-supports-preserve-symlinks-flag"
"to-regex-range@5.0.1","MIT","https://github.com/micromatch/to-regex-range"
"undici-types@7.16.0","MIT","https://github.com/nodejs/undici"
"web-vitals@2.1.4","Apache-2.0","https://github.com/GoogleChrome/web-vitals"
"which-boxed-primitive@1.1.1","MIT","https://github.com/inspect-js/which-boxed-primitive"
"which-collection@1.0.2","MIT","https://github.com/inspect-js/which-collection"
"which-typed-array@1.1.19","MIT","https://github.com/inspect-js/which-typed-array"
"yaml@1.10.2","ISC","https://github.com/eemeli/yaml"
